question,user,english_translation,"label (1: on topic, 0: off topic) "
"Hola, ¿cómo estás?","Muy bien, gracias.",I am doing very well.,1
"Hola, ¿cómo estás?",Estoy triste.,I am sad.,1
"Hola, ¿cómo estás?",Estoy muy triste para ser honesta,I am very sad if I am being honest.,1
"Hola, ¿cómo estás?",Estoy tan feliz,I am very happy.,1
"Hola, ¿cómo estás?",Estoy aburrida,I am bored.,1
"Hola, ¿cómo estás?",tengo un gato grande,I have a big cat,0
"Hola, ¿cómo estás?",mi comida favorita son los macarrones,My favorite food is macaroni,0
"Hola, ¿cómo estás?",Mi mejor amiga es rihanna,My best friend is Rihanna,0
"Hola, ¿cómo estás?",Seré rica algún día,I will be rich someday,0
"Hola, ¿cómo estás?",mi refrigerador esta roto,my refrigerator is broken,0
¿Estás libre hoy?,si estoy libre hoy,yes i am free,1
¿Estás libre hoy?,si,yes,1
¿Estás libre hoy?,No estoy ocupada,no i am busy,1
¿Estás libre hoy?,no,no,1
¿Estás libre hoy?,seguro que haré tiempo para ti,sure i will make time for you,1
¿Estás libre hoy?,la playa es mi lugar favorito,the beach is my favorite place,0
¿Estás libre hoy?,quiero unirme al circo,i want to join the circus,0
¿Estás libre hoy?,invierto en criptomonedas,i invest in cryptocurrency,0
¿Estás libre hoy?,El presidente viene a la ciudad,the president is coming to town,0
¿Estás libre hoy?,mi deporte favorito es el fútbol,my favorite sport is soccer,0
¿Quieres ir de compras conmigo?,si,yes,1
¿Quieres ir de compras conmigo?,no,no,1
¿Quieres ir de compras conmigo?,Me encantaría ir contigo,i would love to come with you,1
¿Quieres ir de compras conmigo?,"Sí, solo necesito encargarme de algo primero.",yes i just need to take care of something first,1
¿Quieres ir de compras conmigo?,"no, no quiero ir",no i don't want to go,1
¿Quieres ir de compras conmigo?,esta manta es cálida,this blanket is warm,0
¿Quieres ir de compras conmigo?,Me gusta más el verano que el invierno.,i like summer better than winter,0
¿Quieres ir de compras conmigo?,A veces me gusta escribir en mi diario.,sometimes i like write in my journal,0
¿Quieres ir de compras conmigo?,esta noche voy a cocinar tres horas,tonight i am going to cook for three hours,0
¿Quieres ir de compras conmigo?,Mi mejor amiga es una tejedora experta,my best friend is an expert knitter,0
¿A qué hora te gustaría ir?,vamos ahora,let's go now,1
¿A qué hora te gustaría ir?,no quiero ir,i don't want to go,1
¿A qué hora te gustaría ir?,a las 11 de la mañana,at 11pm,1
¿A qué hora te gustaría ir?,a las 11,at 11,1
¿A qué hora te gustaría ir?,lo antes posible,as soon as possible,1
¿A qué hora te gustaría ir?,hagamos pastel de cerezas,let's make cherry pie,0
¿A qué hora te gustaría ir?,esta tienda vende bagels,this shop sells bagels,0
¿A qué hora te gustaría ir?,mañana voy al museo,tomorrow i go to the museum,0
¿A qué hora te gustaría ir?,ese es mi maestro,that's my teacher,0
¿A qué hora te gustaría ir?,estoy usando un pañuelo,i am wearing a bandana,0
"Vale, nos vemos luego.",hasta la vista,see you around,1
"Vale, nos vemos luego.",gracias me divertí,thanks i had fun,1
"Vale, nos vemos luego.",nos vemos pronto,see you soon,1
"Vale, nos vemos luego.",hagamos esto de nuevo,let's do this again,1
"Vale, nos vemos luego.",OK,ok,1
"Vale, nos vemos luego.",voy a un partido de béisbol,i am going to a baseball game,0
"Vale, nos vemos luego.",hay un gato,there is a cat,0
"Vale, nos vemos luego.",Tengo muchas fans,i have many fans,0
"Vale, nos vemos luego.",mi tienda favorita vende dulces,my favorite shop sells candy,0
"Vale, nos vemos luego.",yo naci en New York,i was born in new york,0
"Hola, ¿cómo estás?",Estoy feliz y cansado.,,1
"Hola, ¿cómo estás?",Me encanta estar bien.,,1
"Hola, ¿cómo estás?","Me siento bien, gracias.",,1
"Hola, ¿cómo estás?","una agua, favor.",,1
"Hola, ¿cómo estás?",me siento triste,,1
"Hola, ¿cómo estás?",No.,No.,0
"Hola, ¿cómo estás?",No. quiero un desayuno.,,0
"Hola, ¿cómo estás?",Café bien.,,0
"Hola, ¿cómo estás?",bueno.,,0
"Hola, ¿cómo estás?",gracias.,Thank you.,0
¿Estás libre hoy?,"Sí, hoy tengo tiempo.",,1
¿Estás libre hoy?,"Sí, tengo tiempo hoy.",,1
¿Estás libre hoy?,"Hoy, sí tengo tiempo.",,1
¿Estás libre hoy?,"Tengo tiempo, sí, hoy.",,1
¿Estás libre hoy?,"Hoy tengo algo de tiempo, sí.",,1
¿Estás libre hoy?,Son las ocho.,,0
¿Estás libre hoy?,"No, gracias.",,0
¿Estás libre hoy?,"No, son dos pesos.",,0
¿Estás libre hoy?,"Sí, un helado, por favor.",,0
¿Estás libre hoy?,Tengo dinero.,,0
¿Quieres ir de compras conmigo?,"Una chaqueta, la necesito comprar, sí.",,1
¿Quieres ir de compras conmigo?,La chaqueta debo comprar,,1
¿Quieres ir de compras conmigo?,"Sí, quiero comprar una chaqueta.",,1
¿Quieres ir de compras conmigo?,"Sí, me hace falta una chaqueta.",,1
¿Quieres ir de compras conmigo?,"Sí, comprar chaqueta debo.",,1
¿Quieres ir de compras conmigo?,¿Qué escuela?,,0
¿Quieres ir de compras conmigo?,Tengo un hermano.,,0
¿Quieres ir de compras conmigo?,Estoy enviando un mensaje ahora mismo.,,0
¿Quieres ir de compras conmigo?,"Sí, está lloviendo.",,0
¿Quieres ir de compras conmigo?,Mi amigo no está aquí.,,0
¿A qué hora te gustaría ir?,A las diez estoy disponible.,,1
¿A qué hora te gustaría ir?,Cualquier momento.,,1
¿A qué hora te gustaría ir?,Diez en punto.,,1
¿A qué hora te gustaría ir?,Será a las diez.,,1
¿A qué hora te gustaría ir?,A las 10 horas.,,1
¿A qué hora te gustaría ir?,La vida es corta.,,0
¿A qué hora te gustaría ir?,El tiempo tiene números.,,0
¿A qué hora te gustaría ir?,Yo puedo contar.,,0
¿A qué hora te gustaría ir?,Tomo un taxi.,,0
¿A qué hora te gustaría ir?,"Sí, voy a nadar.",,0
"Vale, nos vemos luego.",Hasta la vista.,,1
"Vale, nos vemos luego.",Hasta pronto.,,1
"Vale, nos vemos luego.",Adiós por ahora.,,1
"Vale, nos vemos luego.",Nos vemos luego.,,1
"Vale, nos vemos luego.","Ciao, hasta luego.",,1
"Vale, nos vemos luego.",No tengo coche.,,0
"Vale, nos vemos luego.","Vale, te pago.",,0
"Vale, nos vemos luego.","Sí, vayamos al cine.",,0
"Vale, nos vemos luego.",Dormiré más tarde.,,0
"Vale, nos vemos luego.",Buenos días.,,0
"Hola, ¿cómo estás?",¡Buenos días!,Good morning,0
"Hola, ¿cómo estás?",¡Hola!,Hello,0
"Hola, ¿cómo estás?",Me gusta el café,I like coffee,0
"Hola, ¿cómo estás?",Hace calor hoy,It's hot today,0
"Hola, ¿cómo estás?","Sí, por favor",Yes please,0
"Hola, ¿cómo estás?","Bien, gracias.","Fine, thank you.",1
"Hola, ¿cómo estás?",Muy bien.,Very well,1
"Hola, ¿cómo estás?","Bien, ¿y tú?","Fine, and you?",1
"Hola, ¿cómo estás?","Cansado, pero bien.",Tired but fine.,1
"Hola, ¿cómo estás?",Feliz,Happy,1
¿Estás libre hoy?,Son las tres,It's three o'clock,0
¿Estás libre hoy?,Hace sol hoy,It's sunny today,0
¿Estás libre hoy?,Buenos días,Good morning,0
¿Estás libre hoy?,Voy a estudiar español,I am going to study Spanish,0
¿Estás libre hoy?,Estoy cansado,I am tired,0
¿Estás libre hoy?,"Sí, estoy libre.","Yes, I am free.",1
¿Estás libre hoy?,"No, estoy ocupado","No, I am busy",1
¿Estás libre hoy?,"Sí, por la tarde","Yes, in the afternoon",1
¿Estás libre hoy?,No sé,I don’t know,1
¿Estás libre hoy?,"""¿Para qué?"" (For what?)",For what?,1
¿Quieres ir de compras conmigo?,"Sí, me gusta nadar","Yes, I like to swim",0
¿Quieres ir de compras conmigo?,Tengo dos hermanos,I have two brothers,0
¿Quieres ir de compras conmigo?,Es la tarde,It's afternoon,0
¿Quieres ir de compras conmigo?,Voy al parque,I am going to the park,0
¿Quieres ir de compras conmigo?,Estoy aprendiendo español,I am learning Spanish,0
¿Quieres ir de compras conmigo?,"Sí, quiero","Yes, I want to",1
¿Quieres ir de compras conmigo?,"No, gracias","No, thank you",1
¿Quieres ir de compras conmigo?,"¡Sí, me encanta comprar!","Yes, I love shopping!",1
¿Quieres ir de compras conmigo?,¿Compras? ¿Qué es?,Shopping? What is it?,1
